,posivite_score,bias_score,text
0,0.2995733022689819,0.40085339546203624,"If nothing else emerges at the Apec summit this week in terms of agreement between the leaders of the world’s two largest economies, let’s appreciate that Beijing and Washington were at least able to synchronise the timing of their confirmations that President Xi Jinping and US President Joe Biden would meet. This could become a new symbol of Sino-American cooperation now that the National Zoo’s pandas are gone."
1,0.6434292197227478,0.2868584394454956,"The two sides appear set to announce something on AI usage, but remember how a certain surveillance balloon torpedoed US Secretary of State Antony Blinken’s trip to Beijing and the modicum of goodwill both sides had managed to muster. Given the track record of efforts to get the two sides talking, we should not rule out the possibility of a US nuclear submarine surfacing near Hainan Island just as Xi touches down in San Francisco."
2,0.7144766449928284,0.42895328998565674,"Biden administration officials have briefed reporters with fairly frank assessments. The meeting will be “contentious”, and we should expect an agreement to reopen lines of communication to be the highlight. But, with so much political capital having been spent sending high-level officials each way in recent months, let’s assume everyone stays well within bounds."
3,0.5214441418647766,0.04288828372955322,"Donald Trump Jnr testified on Monday about what he called the “sexiness” of his father’s property portfolio, in his second time taking the stand in the former US president’s civil fraud trial."
4,0.6304579973220825,0.26091599464416504,"Donald Trump, the front runner for the 2024 Republican presidential nomination, is accused along with his two adult sons and 10 of his companies of inflating his net worth by as much as US$2.2 billion to secure better financing."
5,0.7385312914848328,0.4770625829696655,The lawsuit by New York Attorney General Letitia James seeks at least US$250 million in damages as well as restrictions that would effectively bar Trump and his adult sons from New York’s property industry.
6,0.5211519002914429,0.04230380058288574,A mass deportation operation. A new Muslim ban. Tariffs on all imported goods and “freedom cities” built on federal land.
7,0.4378039836883545,0.12439203262329102,Much of the 2024 US presidential campaign has been dominated by the myriad investigations into former president Donald Trump and the subsequent charges against him.
8,0.5805125832557678,0.16102516651153564,"But with less than a year until Election Day, Trump is dominating the race for the Republican nomination and has already laid out a sweeping set of policy goals should he win a second term."
9,0.493192046880722,0.01361590623855602,"For three years, I hoped the day would never come when I would be forced to consider what The Washington Post last month called the “chillingly plausible chains of potential actions and reactions” from Donald Trump’s return as US president."
10,0.3257361054420471,0.34852778911590576,"With still a year to go, polls are suggesting that the presidential election will be a rerun of the 2020 battle between Trump and Joe Biden – except Trump might win. This is the stuff of nightmares."
